tweet_id,author,content
19572242084,Zostogas,"is having the worst week, things really do happen in threes"
19572242104,fresddherika,@meeksdsdfigital haven't worked there for a long time but kinda miss it! I miss anna  seen her? i'll prob be in SLO most of the summer! you?
19572242310,lanaaarsbananars,My tummy still hurts  another cubs game tom...goood night.
19572422838,jayTaaOCIE,@katrindfalmoreno and im an idiot for missing their last show
19572422975,kimislolliddng,wth is happening with my neck. this is definitely not stiff neck :|
19572423017,Amandasa702,Looking at old pictures... I love it &amp; miss the good ol days
19572243299,robfittttaness,Week-end is over and now it's time to get back to work
19572243451,Dreemkilltad,@TreverdfaKeith come back to Perth     I missed the show here!
19572243516,Kikirowasr,@Katarindfaea Oh wow  ouch...
19572243682,anambgfanana,"Summer is about to end.  For some, it's just about to start. Hahah."
19572423718,eckodabhyrat,My baby was so drunk I brought her home for an hour to pass out then carried her to the car
19572424220,Dropsofrdfeign,@JonasdfgConnrt4elly You can vote every 20 mins I'm on page 2   http://twurl.nl/hxux3o
19572244523,emyquadfnt,I can't find my ipod
19572424537,Jak89aaadfw,"@asdf432 T, im sooooo bored right now"
19572452122,Rubyberrrydd,@54ghf wat the! you were in riverside??
19572451521,Joshuah_Pdasdearson,@asdfbh8765g popularity contest and they think twitter will help.... and it's become trendy
1111111111,Sathyrun18asd,Worst tummy pain ever!
2222222222,sathyrun18asd,This candidate Rocks